attempted_iteration,successful_optimizer_steps,processed_nimg,processed_kimg,loss,grad_scale,step_skipped,schedule,stage,next_loop_cur_tick,loss_ema,loss_reference,correction,signal_updates,adaptive_active,r_over_t_mean,gap_mean,elapsed_sec,peak_vram_gb
111,102,14208.0,14.208000,30.04300690,128,0,adaptive_v1,0,1,28.4955075427,16.2829611748,-0.0253850392971,28,1,0.95941072524,0.0405892747602,94.254280,2.502289
112,103,14336.0,14.336000,25.32697582,128,0,adaptive_v1,0,1,28.4955075427,16.2829611748,-0.0253850392971,28,1,0.961010122603,0.0389898773965,95.032947,2.502289
113,104,14464.0,14.464000,29.53296280,128,0,adaptive_v1,0,1,28.4955075427,16.2829611748,-0.0253850392971,28,1,0.959803235551,0.0401967644494,95.808244,2.502289
114,105,14592.0,14.592000,29.11546397,128,0,adaptive_v1,0,1,28.4964170257,16.2829611748,-0.025386223752,29,1,0.959734974917,0.0402650250834,96.573755,2.502289
115,106,14720.0,14.720000,28.60022688,128,0,adaptive_v1,0,1,28.4964170257,16.2829611748,-0.025386223752,29,1,0.960037526095,0.0399624739051,97.326815,2.502289
116,107,14848.0,14.848000,24.97299719,128,0,adaptive_v1,0,1,28.4964170257,16.2829611748,-0.025386223752,29,1,0.960669858842,0.0393301411584,98.094888,2.502289
117,108,14976.0,14.976000,26.93034554,128,0,adaptive_v1,0,1,28.4964170257,16.2829611748,-0.025386223752,29,1,0.960580599002,0.0394194009984,98.847855,2.502289
118,109,15104.0,15.104000,28.03946805,128,0,adaptive_v1,0,1,28.3603512645,16.2829611748,-0.0252081700182,30,1,0.96001007349,0.0399899265101,99.612727,2.502289
119,110,15232.0,15.232000,26.07903409,128,0,adaptive_v1,0,1,28.3603512645,16.2829611748,-0.0252081700182,30,1,0.960681190408,0.0393188095918,100.377354,2.502289
120,111,15360.0,15.360000,25.40577686,128,0,adaptive_v1,0,1,28.3603512645,16.2829611748,-0.0252081700182,30,1,0.9609714558,0.0390285442003,101.144194,2.502289
121,112,15488.0,15.488000,25.89758492,128,0,adaptive_v1,0,1,28.3603512645,16.2829611748,-0.0252081700182,30,1,0.960781159341,0.0392188406585,101.908779,2.502289
122,113,15616.0,15.616000,26.81858301,128,0,adaptive_v1,0,1,28.1293406099,16.2829611748,-0.0249019147152,31,1,0.960725850968,0.039274149032,102.665916,2.502289
123,114,15744.0,15.744000,28.06442571,128,0,adaptive_v1,0,1,28.1293406099,16.2829611748,-0.0249019147152,31,1,0.960166708536,0.0398332914637,103.436256,2.502289
124,115,15872.0,15.872000,26.93015647,128,0,adaptive_v1,0,1,28.1293406099,16.2829611748,-0.0249019147152,31,1,0.960670019191,0.0393299808094,104.201974,2.502289
125,116,16000.0,16.000000,26.70842981,128,0,adaptive_v1,0,2,28.0398402819,16.2829611748,-0.0247819071088,32,1,0.96108821038,0.0389117896204,104.959755,2.502289
126,117,16128,16.128000,27.14343596,128,0,adaptive_v1,0,2,28.0398402819,16.2829611748,-0.0247819071088,32,1,0.960835733733,0.0391642662666,112.747671,6.197255
127,118,16256,16.256000,26.83823371,128,0,adaptive_v1,0,2,28.0398402819,16.2829611748,-0.0247819071088,32,1,0.960850657213,0.0391493427871,113.485008,6.197255
128,119,16384,16.384000,25.85109234,128,0,adaptive_v1,0,2,28.0398402819,16.2829611748,-0.0247819071088,32,1,0.961156405956,0.0388435940444,114.255194,6.197255
